email,name,phone,physicalAddress,postalAddress,url
wallace.rockhole@education.nt.gov.au,Wallace Rockhole School,(08) 8956 7330,"N/A, Wallace Rockhole, NT","PO Box 2256, Alice Springs, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=wallasch
wagaman.school@education.nt.gov.au,Wagaman Primary School,(08) 8922 6011,"35 Wagaman Tce, Wagaman, 0810, NT","PO Box 40019, CASUARINA, 0811, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=wagamsch
,Wagaman Pre School,(08) 8922 6011,"35 Wagaman Tce, Wagaman, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=wagamanpreschool
craig.watkins@education.nt.gov.au,Urapunga School,(08) 8975 4645,"Blyth St, Rittarangu (Urapunga), NT","PMB 12, via Katherine, 0852, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=urapusch
admin.tiwicollege@ntschools.net,Tiwi College,08 89709024,"Pickertaramoor Melville Island, , NT","LMB 127, Winnellie, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=tiwichs
malakrc.det@education.nt.gov.au,Top End School of Flexible Learning,(08) 899 77199,"1 Malak Place, Malak, 0812, NT","PO Box 703, Karama, 0812, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=malrcsch
nanci.morrison@education.nt.gov.au,Titjikala School,(08) 8956 0927,"N/A, Titjikala (Maryvale), NT","PMB 130, via Alice Springs, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=titjisch
carla.clough@education.nt.gov.au,Tipperary Station School,(08) 8978 2765,"Daly River Road, Tipperary, NT","PMB 214, via Winnellie, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=tippesch
matt.watson@education.nt.gov.au,Tivendale School,(08) 899 95910,"Tivendale Road, Berrimah, 0828, NT","PO Box 703, Karama, 0812, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=dondasch
timbercreek.admin@education.nt.gov.au,Timber Creek School,(08) 8975 0714,"62 Wilson St, Timber Creek, NT","PMB 115, via Katherine, 0851, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=timbesch
mark.webster@education.nt.gov.au,Ti Tree School,(08) 8956 9743,"26 Palmer St, Ti-Tree, NT","Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=titresch
administration@essington.nt.edu.au,The Essington School,(08) 8985 0100,"22 Chapman Rd, Rapid Creek, NT","PO Box 42321, Casuarina, 0811, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=essinsch
,Tennant Creek Pre School,(08) 8962 2110,"31 Paterson St, Tennant Creek, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=tennantcreekpreschool
,Stuart Park Pre School,(08) 899 77322,"8 Nudl St, Stuart Park, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=stuartparkpreschool
admin.tchs@education.nt.gov.au,Tennant Creek High School,(08) 8962 2102,"38 Stuart St, Tennant Creek, NT","PO Box 546, Tennant Creek, 0861, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=tennahs
stuartpark.school@education.nt.gov.au,Stuart Park Primary School,(08) 899 77333,"8 Nudl St, Stuart Park, 0820, NT","PO Box 37421, Winnellie, 0831, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=stuarsch
admin.tennasch@education.nt.gov.au,Tennant Creek Primary School,(08) 896 32424,"31 Paterson St, Tennant Creek, 0860, NT","PO Box 506, Tennant Creek, 0861, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=tennasch
admin.taminmin@education.nt.gov.au,Taminmin College,(08) 898 37000,"70 Challoner Cct, Humpty Doo, NT","PO Box 21, HUMPTY DOO, 0836, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=taminhs
tony.tree@education.nt.gov.au,Stirling School,(08) 8956 9759,"N/A, Wilora (Stirling Station) 0872, NT","c/- Ti Tree Post Office, Ti Tree, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=stirlsch
info@stphilips.nt.edu.au,St Philip's College,(08) 8950 4511,"2 Ulpaya Rd, Alice Springs, NT","PO Box 33, Alice Springs, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=stphisch
admin.stpauls@nt.catholic.edu.au,St Paul's Catholic Primary School,(08) 8985 1911,"Cnr Trower Road and Francis Street, Nightcliff, NT","PO Box 40344, Casuarina, 0811, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=stpausch
sjcflc@ereafsn.edu.au,St Joseph's Catholic Flexible Learning Centre,89293900,"5 Bloomfield Street, Alice Springs, 0870, NT","P O Box 2991, Alice Springs, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=stjosflc
admin.stmarys@nt.catholic.edu.au,St Mary's Catholic Primary School,(08) 8981 9796,"3 Lindsay St, Darwin City, NT","PO Box 2413, Darwin, 0801, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=stmarsch
admin.stjosephs@nt.catholic.edu.au,St Joseph's Catholic College,(08) 89723555,"Cnr Maluka Road & Chambers Drive, Katherine 0850, NT","PO Box 535, Katherine, 0850, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=stjoshs
admin.stjohns@nt.catholic.edu.au,St John's Catholic College,(08) 8982 2222,"54 Salonika St, The Gardens, NT","Mail Bag 13, Darwin, 0820, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=stjohhs
admin.dalyriver@nt.catholic.edu.au,St Francis Xavier Catholic School,(08) 8978 2427,"7333 Daly River Rd, Nauiyu, NT","CMB 28, Daly River, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=stfrxsch
admin.sfas@nt.catholic.edu.au,St Francis of Assisi Catholic Primary School,(08) 8988 1212,"56 Challoner Cct, Humpty Doo, NT","PO Box 921, Humpty Doo, , NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=stfrasch
,Shepherdson Pre School,(08) 8987 9044,"Wakirana St, Galiwinku, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=shepherdsonpreschool
principal.shepherdson@education.nt.gov.au,Shepherdson College,(08) 8987 9044,"Wakirana St, Galiwinku, 0822, NT","PMB 74, via WINELLIE, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=shephcec
info@sedacollege.nt.edu.au,SEDA College NT,1300 337 332,"5/90 Ross Smith Ave, Fannie Bay, 0820, NT","5/90 Ross Smith Ave, Fannie Bay, 0820, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=sedacsch
admin.ssnt@education.nt.gov.au,School of Sport Education NT,(08) 899 95700,"1 Nemarluk Drive, Ludmilla, NT, 0820, NT","PO Box 42896, Casuarina, 0811, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=schoolofsporteducationnt
admin.scc@ntschools.net,Sattler Christian College,7922 1500,"15 Sattler Cres, Bees Creek, NT","PO Box 1138,, Coolalinga, 0839, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=litchsch
sadadeen.primary@education.nt.gov.au,Sadadeen Primary School,(08) 895 52299,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 2707, ALICE SPRINGS, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=sadadsch
sanderson.middle@education.nt.gov.au,Sanderson Middle School,(08) 7923 0500,"60 Matthews Rd, Malak, 0812, NT","PO Box 189, KARAMA, 0813, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=sandehs
admin.shps@nt.catholic.edu.au,Sacred Heart Catholic Primary School,(08) 8924 8700,"34 Emery Ave, Woodroffe, NT","PO Box 271, Palmerston, 0831, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=sacresch
tania.nicholls@education.nt.gov.au,Royal Darwin Hospital School,(08) 8922 8736,"Rocklands Drive, Tiwi, Tiwi, 0810, NT","C/o Nakara Primary School, Goodman St, NAKARA, 0810, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=dhospsch
rosspark.school@ntschools.net,Ross Park Primary School,(08) 895 52000,"7 Winnecke Ave, Alice Springs, 0870, NT","PO Box 364, ALICE SPRINGS, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=rosspsch
roseberyps.admin@education.nt.gov.au,Rosebery Primary School,(08) 792 30100,"Belyuen Road Rosebery, Rosebery, 0832, NT","PO Box 650, PALMERSTON, 0832, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=rosebsch
,Rona Glynn Pre School,(08) 895 21792,"2 Mckay St, Alice Springs, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=ronaglynnpreschool
petrina.hayward@education.nt.gov.au,Rockhampton Downs School,(08) 8964 4675,"Community ID 259, Wogyala, NT","PMB 34, Tennant Creek, 0862, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=rockhasch
theo.debeer@education.nt.gov.au,Robinson River School,(08) 8975 9956,"N/A, Robinson River, NT","PMB 145, Katherine, 0851, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=robinsch
deanne.kathagen@education.nt.gov.au,Ramingining School,(08) 8979 7924,"133Lewangu Drive, Ramingining, 0822, NT","PMB 125, via WINNELLIE, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=ramincec
,Ramingining Pre School,(08) 8979 7924,"N/A, Ramingining, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=raminginingpreschool
tim.morgan@education.nt.gov.au,Pularumpi School,(08) 8978 3961,"Pularumpi, Pirlangimpi, NT","PMB 51, via Winnellie, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=pularsch
jo.moon@education.nt.gov.au,Pine Creek School,(08) 8976 1228,"N/A, Pine Creek, 0847, NT","PO Box 196, Pine Creek, 0847, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=pinecsch
anne.pollock@education.nt.gov.au,Pigeon Hole School,(08) 8975 0812,"N/A, Pigeon Hole, NT","PMB 10, via Katherine, 0852, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=pigeosch
eric.barrows@education.nt.gov.au,Peppimenarti School,(08) 8978 2455,"N/A, Peppimenarti, NT","PMB 49, via Winnellie, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=peppisch
parapps.office@education.nt.gov.au,Parap Primary School,(08) 898 22922,"52 Urquhart Street, Parap, 0820, NT","PO Box 69, PARAP, 0804, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=parapsch
,Parap Pre School,(08) 8981 5146,"61 Ross Smith Ave, Parap, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=parappreschool
sue.jenkins@education.nt.gov.au,Papunya School,(08) 8956 8515,"N/A, Papunya, 0872, NT","PMB 77, via Alice Springs, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=papunsch
admin.pcc@ntschools.net,Palmerston Christian College,(08) 7922 5600,"50 Waler Road, Marlow Lagoon, Marlow Lagoon, NT","PO Box 113, Palmerston, 0831, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=palmesch
Palmerston.college@education.nt.gov.au,Palmerston College,(08) 899 77999,"10 Tilston Ave, Driver, 0830, NT","PO Box 8, PALMERSTON, , NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=palmcsch
joel.hohn@education.nt.gov.au,Owen Springs Education Centre,(08) 8958 5088 / (08) 8958 5089,"Stuart Highway, Alice Springs, 0870, NT","PO Box 4856, Alice Springs, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=aspdcsch
admin.olshtcs@nt.catholic.edu.au,Our Lady of the Sacred Heart Thamarrurr Catholic College,(08) 8978 2477,"Wadeye, Port Keats, NT","Wadeye, Port Keats, via Winnellie, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=olshpsch
admin.olshalice@nt.catholic.edu.au,Our Lady of the Sacred Heart Catholic College - Traeger Campus,(08) 8950 6400,"8 Traeger Ave, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=olshtsch
admin.olshalice@nt.catholic.edu.au,Our Lady of the Sacred Heart Catholic College - Alice Springs,(08) 8950 6400,"Sadadeen Rd, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=olshssch
admin.olshalice@nt.catholic.edu.au,Our Lady of the Sacred Heart Catholic College - Bath Street Campus,(08) 8950 6400,"5 Bath St, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=olshbsch
secretary.oloughlin@nt.catholic.edu.au,O'Loughlin Catholic College,(08) 8945 1277,"70 Mueller Rd, Karama, NT","P O Box 41911, Casuarina, 0811, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=oloughs
ceo@nyangatjatjaracollege.or.au,Nyangatjatjara College - Mutitjulu Campus,(08) 8956 2555,"1680 Uluru Rd, Yulara, NT","PO Box 171, Yulara, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nyangatjatjaracollegemutitjulucampus
clarice.oleary@education.nt.gov.au,Nyirripi School,(08) 8956 8880,"N/A, Nyirripi, NT","PMB 125, via Alice Springs, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nyirrsch
ceo@nyangatjatjaracollege.org.au,Nyangatjatjara College - Imanpa Campus,(08) 8956 7038,"8 Mumu Rd (7-10), Imanpa, NT","PO Box 171, Yulara, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nyangatjatjaracollegeimanpacampus
ceo@nyangatjatjaracollege.org.au,Nyangatjatjara College - Docker Rvr Campus,(08) 8956 7098,"4 Tjala Place, Kaltukatjara (Docker River), NT","PO Box 171, Yulara, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nyandsch
ncollege@octa4.net.au,Nyangatjatjara College,(08) 8956 2257,"n/a, Kaltukatjara, NT","PO Box 171, Yulara, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nyangsch
,Numbulwar Pre School,(08) 8975 4650,"N/A, Numbulwar, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=numbulwarpreschool
numbulwar.school@education.nt.gov.au,Numbulwar School,(08) 8975 4650,"N/A, Numbulwar, NT","PMB 68, WINELLIE, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=numbusch
kim.omar@education.nt.gov.au,Ntaria School,(08) 8956 7424,"N/A, Hermannsburg (Ntaria), NT","PMB 4, via Alice Springs, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=ntarisch
ntsde.admin@education.nt.gov.au,NT School of Distance Education,(08) 892 22222,"The Bullocky Point Education Precinct, Atkins Dr, The Gardens, 0820, NT","PO Box 40471, Casuarina, 0811, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=ntoec
nt.musicschool@education.nt.gov.au,NT Music School,(08) 896 35550,"60 Matthews Rd, Wulagi 0812, NT","PO Box 455, Sanderson, 0813, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=ntmsdrw
admin.ntcc@ntschools.net,NT Christian College,(08) 8920 2000,", Marrara, NT","PO Box 84, Karama, 0812, Unit 1 Strath Village, 43 Berrimah Road NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=ntchrsch
,Nightcliff Pre School,(08) 8948 8488,"17 Pandanus St, Nightcliff, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nightcliffpreschool
nightcliff.ps@education.nt.gov.au,Nightcliff Primary School,(08) 8948 8488,"17 Pandanus St, Nightcliff, 0810, NT","PO BOX 798, NIGHTCLIFF, 0810, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nightsch
admin.nightms@education.nt.gov.au,Nightcliff Middle School,(08) 898 37677,"90 Aralia St, Rapid Creek, 0810, NT","90 Aralia St, NIGHTCLIFF, 0810, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nighths
nps.frontoffice@education.nt.gov.au,Nhulunbuy Primary School,(08) 898 70022,"60 Chesterfield Cct, Nhulunbuy, 0880, NT","PO Box 321, NHULUNBUY, 0881, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nhulusch
,Nhulunbuy Pre School,(08) 8987 1056,"36 Chesterfield Cct, Nhulunbuy, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nhulunbuypreschool
admin.ncc@ntschools.net,Nhulunbuy Christian College,(08) 8965 2900,"26 Eugenia Avenue, Nhulunbuy, NT","PO Box 621, Nhulunbuy, 0881, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nhulucsc
nhulunbuy.high@education.nt.gov.au,Nhulunbuy High School,(08) 898 70844,"51 Matthew Flinders Way, Nhulunbuy, 0880, NT","PO Box 1096, NHULUNBUY, 0881, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nhuluhs
ngukurr.cec@education.nt.gov.au,Ngukurr School,(08) 8975 4680,"Bawuda St, Ngukurr, 0852, NT","PMB 138, KATHERINE, 0851, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=ngukucec
,Ngukurr Pre School,(08) 8975 4680,"Bawuda St, Ngukurr, NT",", , , ",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=ngukurrpreschool
dannielle.cairns@education.nt.gov.au,Nganmarriyanga School,(08) 8978 2380,"N/A, Palumpa, NT","PMB 85, via WINNELLIE, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nganmsch
samuel.sailor@education.nt.gov.au,Nganambala School,(08) 8978 2001,"n/a, Emu Point, NT","PMB 218, Via Winnellie, 0822, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nganasch
dave.oke@education.nt.gov.au,Newcastle Waters School,(08) 8964 4566,"11 Drovers Dr, Newcastle Waters, NT","Newcastle Waters Station, via Elliott, 0862, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=newcasch
leanne.forbes@education.nt.gov.au,Neutral Junction School,(08) 8956 9754,"Stuart Hwy, Neutral Junction, NT","Neutral Junction, via Alice Springs, 0872, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=neutrsch
admin.nemarluk@education.nt.gov.au,Nemarluk School,(08) 898 50400,"30 Styles St, Alawa, 0810, NT","PO Box 39729, WINNELLIE, 0821, NT",https://directory.ntschools.net/api/System/GetSchool?itSchoolCode=nemarsch
